Dynamometritesti,Dynamometer test - values,FULL_HYBRID,2,93
Etujarrut,Front brakes,FULL_HYBRID,2,94
Takajarrut,Back brakes,FULL_HYBRID,2,95
Käsijarru,Hand brake,FULL_HYBRID,2,96
Iskunvaimennus,Shock absorber,FULL_HYBRID,2,97
Etuakseli,Front axle,FULL_HYBRID,2,98
Taka-akseli,Back axle,FULL_HYBRID,2,99
OBD-testi,OBD-test,FULL_HYBRID,3,100
Valaistus etu,Lighting front,FULL_HYBRID,4,101
Ajovalot/parkit etu,Headlight/parking lights front,FULL_HYBRID,4,102
Suuntavilkut,Direction indicators,FULL_HYBRID,4,103
Hätävilkut,Hazard flasher,FULL_HYBRID,4,104
Sumuvalot,Fog lights,FULL_HYBRID,4,105
Lisävalot,Additional lights,FULL_HYBRID,4,106
Valaistus taka,Lighting back,FULL_HYBRID,4,107
Ajovalot/parkit taka,Headlight/parking lights back,FULL_HYBRID,4,108
Suuntavilkut,Direction indicators,FULL_HYBRID,4,109
Hätävilkut,Hazard flasher,FULL_HYBRID,4,110
Sumuvalot,Fog lights,FULL_HYBRID,4,111
Lisävalot,Additional lights,FULL_HYBRID,4,112
Pyyhkijät etu/taka,Wipers back and front,FULL_HYBRID,4,113
Tuulilasinpyyhkimet,Windshield wipers,FULL_HYBRID,4,114
Takalasinpyyhin,Rear window wiper,FULL_HYBRID,4,115
Lasinpesurit,Windshield washers,FULL_HYBRID,4,116
Tuulilasinpesuri,Windshield washer,FULL_HYBRID,4,117
Takalasinpesuri,Rear window washer,FULL_HYBRID,4,118
Ajovalopesuri,Headlight washer,FULL_HYBRID,4,119
Äänimerkki,Sound signal,FULL_HYBRID,4,120
Tuulilasin kunto,Windshield condition,FULL_HYBRID,4,121
Ohjausnivelistö,Control joint,FULL_HYBRID,5,122
Etuakseli,Front axle,FULL_HYBRID,5,123
Taka-akseli,Rear axle,FULL_HYBRID,5,124
"Akselituennat, pyöränlaakerit","Axle supports, wheel bearings",FULL_HYBRID,5,125
Etuakseli,Front axle,FULL_HYBRID,5,126
Taka-akseli,Rear axle,FULL_HYBRID,5,127
Jousitus,Suspension,FULL_HYBRID,5,128
Etuakseli,Front axle,FULL_HYBRID,5,129
Taka-akseli,Rear axle,FULL_HYBRID,5,130
Pakoputkisto,Exhaust system,FULL_HYBRID,5,131
Putket ja letkut,Pipes and hoses,FULL_HYBRID,5,132
Polttoainesäiliöt,Fuel tank,FULL_HYBRID,5,133
Pohjalevy,Base plate,FULL_HYBRID,5,134
Runko,Frame,FULL_HYBRID,5,135
Helmakotelot,Sill panel,FULL_HYBRID,5,136
Jarrulevyt/palat,Brake pads/discs,FULL_HYBRID,5,137
Etuakseli,Front axle,FULL_HYBRID,5,138
Taka-akseli,Rear axle,FULL_HYBRID,5,139
Ajoakku ulkoinen kunto,Driving battery external condition,FULL_HYBRID,12,140
Ajoakku johdotus ja kaapelointi,Driving battery wiring and cabling,FULL_HYBRID,12,141
Ajoakku akkutestaus(pyydettäessä),Driving battery battery testing(on request),FULL_HYBRID,12,142
Eturenkaat kulutuspinta vasen,Front tires tread left,FULL_HYBRID,6,143
Eturenkaat kulutuspinta oikea,Front tires tread right,FULL_HYBRID,6,144
Takarenkaat kulutuspinta vasen,Rear tires tread left,FULL_HYBRID,6,145
Takarenkaat kulutuspinta oikea,Rear tires tread right,FULL_HYBRID,6,146
"Moottori, ulkoiset havainnot","Engine, external observations",FULL_HYBRID,7,147
Käynnistys,Start,FULL_HYBRID,7,148
Käynnistysääni,Idle,FULL_HYBRID,7,149
Lataus-mitattu latausjännite tyhjäkäynnillä,Charge- measured charging voltage at idle,FULL_HYBRID,7,150
Akkutesti,Battery test,FULL_HYBRID,7,151
Jäähdytysjärjestelmä,Cooling system,FULL_HYBRID,7,152
Nesteen pakkaskestävyys,Frost resistance of the liquid,FULL_HYBRID,7,153
Lasit,Windows,FULL_HYBRID,8,154
Peilit,Mirrors,FULL_HYBRID,8,155
Kojetaulu,Panel,FULL_HYBRID,8,156
"Hallintalaitteet, mittaristo","Controls, instrument panel",FULL_HYBRID,8,157
Merkkivalot,Indicator lights,FULL_HYBRID,8,158
Lämmitys ja huurteenpoisto,Heating and frost protection,FULL_HYBRID,8,159
Ilmastointi,Air conditioning,FULL_HYBRID,8,160
Sisusta,Interior,FULL_HYBRID,8,161
